,symbol,symbol_anonym,sector
451,GLPI,451,Real Estate
452,FRC-PI,452,Financial Services
453,NTAP,453,Technology
454,BURL,454,Consumer Cyclical
455,TPL,455,Energy
456,RF-PC,456,Financial Services
457,IPG,457,Communication Services
458,AAM-PB,458,Financial Services
459,AAM-PA,459,Financial Services
460,OKTA,460,Technology
461,FRC-PH,461,Financial Services
462,TWLO,462,Communication Services
463,HUBB,463,Industrials
464,ADP.PA,464,Industrials
465,CE,465,Basic Materials
466,VTRS,466,Healthcare
467,RF-PB,467,Financial Services
468,CTLT,468,Healthcare
469,SWK,469,Industrials
470,TRMB,470,Technology
471,WPP,471,Communication Services
472,STX,472,Technology
473,SNA,473,Industrials
474,IP,474,Consumer Cyclical
475,H,475,Consumer Cyclical
476,WYNN,476,Consumer Cyclical
477,BLDR,477,Industrials
478,CUK,478,Consumer Cyclical
479,NLY-PG,479,Real Estate
480,DOCU,480,Technology
481,GOAU4.SA,481,Basic Materials
482,NLY-PF,482,Real Estate
483,ENTG,483,Technology
484,OTEX.TO,484,Technology
485,CG,485,Financial Services
486,GOAU3.SA,486,Basic Materials
487,APA,487,Energy
488,AMUN.PA,488,Financial Services
489,KIM,489,Real Estate
490,LBRDK,490,Communication Services
491,AGNCL,491,Real Estate
492,LBRDA,492,Communication Services
493,TRU,493,Industrials
494,DT,494,Technology
495,AGNCO,495,Real Estate
496,ACM,496,Industrials
497,PHM,497,Consumer Cyclical
498,EQT,498,Energy
499,BPYPP,499,Real Estate
500,WDC,500,Technology
501,GEN,501,Technology
502,TECH,502,Healthcare
503,BSY,503,Technology
504,RNO.PA,504,Consumer Cyclical
505,HST,505,Real Estate
506,LSCC,506,Technology
507,EXAS,507,Healthcare
508,MAS,508,Industrials
509,BWA,509,Consumer Cyclical
510,CRL,510,Healthcare
511,AGNCP,511,Real Estate
512,WLN.PA,512,Technology
513,CLF,513,Basic Materials
514,CZR,514,Consumer Cyclical
515,EQH,515,Financial Services
516,MTCH,516,Communication Services
517,U,517,Technology
518,FIVE,518,Consumer Cyclical
519,CDAY,519,Technology
520,OVV,520,Energy
521,JBL,521,Technology
522,TEVA,522,Healthcare
523,SOLB.BR,523,Basic Materials
524,KMX,524,Consumer Cyclical
525,BRKR,525,Healthcare
526,RITM-PA,526,Real Estate
527,DKS,527,Consumer Cyclical
528,NLY-PI,528,Real Estate
529,WSC,529,Industrials
530,RITM-PB,530,Real Estate
531,TFII,531,Industrials
532,REG,532,Real Estate
533,GFL,533,Industrials
534,LAMR,534,Real Estate
535,AGCO,535,Industrials
536,RRX,536,Industrials
537,AAL,537,Industrials
538,PCTY,538,Technology
539,EWBC,539,Financial Services
540,ALO.PA,540,Industrials
541,CCK,541,Consumer Cyclical
542,TPR,542,Consumer Cyclical
543,AEG,543,Financial Services
544,RGEN,544,Healthcare
545,WES,545,Energy
546,EMN,546,Basic Materials
547,FNF,547,Financial Services
548,ARCC,548,Financial Services
549,FLEX,549,Technology
550,CTC-A.TO,550,Consumer Cyclical
551,BXP,551,Real Estate
552,AOS,552,Industrials
553,LSXMA,553,Communication Services
554,QRVO,554,Technology
555,DAR,555,Consumer Defensive
556,LSXMK,556,Communication Services
557,CTC.TO,557,Consumer Cyclical
558,VFC,558,Consumer Cyclical
559,CFG-PE,559,Financial Services
560,DIE.BR,560,Consumer Cyclical
561,XM,561,Technology
562,IGM.TO,562,Financial Services
563,RITM-PD,563,Real Estate
564,Z,564,Communication Services
565,ALLE,565,Industrials
566,ZG,566,Communication Services
567,USIM6.SA,567,Basic Materials
568,NLY,568,Real Estate
569,FGR.PA,569,Industrials
570,LECO,570,Industrials
571,PAG,571,Consumer Cyclical
572,CAE.TO,572,Industrials
573,NWSA,573,Communication Services
574,NWS,574,Communication Services
575,AA,575,Basic Materials
576,COTY,576,Consumer Defensive
577,ARX.TO,577,Energy
578,ARMK,578,Industrials
579,SSL,579,Basic Materials
580,LBTYB,580,Communication Services
581,FND,581,Consumer Cyclical
582,GGB,582,Basic Materials
583,MTN,583,Consumer Cyclical
584,BILL,584,Technology
585,RITM-PC,585,Real Estate
586,LBTYK,586,Communication Services
587,OTEX,587,Technology
588,KNX,588,Industrials
589,SMTO3.SA,589,Consumer Defensive
590,LBTYA,590,Communication Services
591,PAA,591,Energy
592,BPO-PI.TO,592,Real Estate
593,JHX,593,Basic Materials
594,VNO-PL,594,Real Estate
595,PNR,595,Industrials
596,LSXMB,596,Communication Services
597,CHDN,597,Consumer Cyclical
598,IAG.MC,598,Industrials
599,MANH,599,Technology
600,ROKU,600,Communication Services
601,OC,601,Industrials
602,IAG.TO,602,Financial Services
603,DOO.TO,603,Consumer Cyclical
604,SNX,604,Technology
605,CAR,605,Industrials
606,VNO-PM,606,Real Estate
607,ALLY,607,Financial Services
608,USIM5.SA,608,Basic Materials
609,CMA,609,Financial Services
610,NOV,610,Energy
611,WOLF,611,Technology
612,UHS,612,Healthcare
613,WBS,613,Financial Services
614,BBWI,614,Consumer Cyclical
615,PFGC,615,Consumer Defensive
616,USIM3.SA,616,Basic Materials
617,UNM,617,Financial Services
618,MORN,618,Financial Services
619,TX,619,Basic Materials
620,WCC,620,Industrials
621,AGNCN,621,Real Estate
622,YPF,622,Energy
623,RHI,623,Industrials
624,FFIV,624,Technology
625,FRT-PC,625,Real Estate
626,FRT,626,Real Estate
627,DCP,627,Energy
628,ALGM,628,Technology
629,XPEV,629,Consumer Cyclical
630,G,630,Technology
631,USFD,631,Consumer Defensive
632,BILI,632,Communication Services
633,OSH,633,Healthcare
634,SYF-PA,634,Financial Services
635,DKNG,635,Consumer Cyclical
636,WEX,636,Technology
637,CFR,637,Financial Services
638,JEF,638,Financial Services
639,MIDD,639,Industrials
640,CGNX,640,Technology
641,LEA,641,Consumer Cyclical
642,WRK,642,Consumer Cyclical
643,AC.PA,643,Consumer Cyclical
644,WAL,644,Financial Services
645,NYMTM,645,Real Estate
646,JLL,646,Real Estate
647,GIL.TO,647,Consumer Cyclical
648,CX,648,Basic Materials
649,AAP,649,Consumer Cyclical
650,ALV,650,Consumer Cyclical
651,WSM,651,Consumer Cyclical
652,IVZ,652,Financial Services
653,DCI,653,Industrials
654,SEIC,654,Financial Services
655,AGNCM,655,Real Estate
656,PLUG,656,Industrials
657,AR,657,Energy
658,EME,658,Industrials
659,MTZ,659,Industrials
660,FBIN,660,Industrials
661,DLB,661,Technology
662,COF-PI,662,Financial Services
663,EQH-PA,663,Financial Services
664,OLN,664,Basic Materials
665,IRDM,665,Communication Services
666,UGI,666,Utilities
667,ST,667,Technology
668,RL,668,Consumer Cyclical
669,SAIA,669,Industrials
670,GFC.PA,670,Real Estate
671,GNRC,671,Industrials
672,ITT,672,Industrials
673,BERY,673,Consumer Cyclical
674,CROX,674,Consumer Cyclical
675,UWMC,675,Financial Services
676,NVT,676,Industrials
677,UMI.BR,677,Industrials
678,INSP,678,Healthcare
679,CLVT,679,Technology
680,KBR,680,Industrials
681,WHR,681,Consumer Cyclical
682,NFE,682,Utilities
683,COF-PJ,683,Financial Services
684,ACS.MC,684,Industrials
685,PSTG,685,Technology
686,RXL.PA,686,Technology
687,COF-PK,687,Financial Services
688,AKE.PA,688,Basic Materials
689,VOYA,689,Financial Services
690,CLH,690,Industrials
691,TPX,691,Consumer Cyclical
692,TOI.V,692,Technology
693,AKE.TO,693,Basic Materials
694,CAE,694,Industrials
695,ALD.PA,695,Industrials
696,ZION,696,Financial Services
697,VOYA-PB,697,Financial Services
698,WMS,698,Industrials
699,SAB.MC,699,Financial Services
700,AC.TO,700,Industrials
701,BRFS3.SA,701,Consumer Defensive
702,APLS,702,Healthcare
703,PLNT,703,Consumer Cyclical
704,CELH,704,Consumer Defensive
705,SF,705,Financial Services
706,FR,706,Real Estate
707,GLOB,707,Technology
708,RBC,708,Industrials
709,LAD,709,Consumer Cyclical
710,SBNY,710,Financial Services
711,SKX,711,Consumer Cyclical
712,VMI,712,Industrials
713,X,713,Basic Materials
714,KIM-PM,714,Real Estate
715,KEY.TO,715,Energy
716,SEE,716,Consumer Cyclical
